index,period,heading,context,question,extractive answer,abstractive answer
3000,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Năm 1963 cũng là năm phong trào đấu tranh chính trị mạnh mẽ với trên 34 triệu lượt người, tập trung vào các đợt đấu tranh chống chính quyền Ngô Đình Diệm đàn áp Phật giáo, trong đó lớn nhất là cuộc đấu tranh ngày 16-6-1963 quy tụ 700.000 người. Cùng với thắng lợi trên mặt trận quân sự, phong trào đấu tranh chính trị trên toàn miền Nam năm 1963 đã làm chế độ chính trị Sài Gòn khủng hoảng tột độ. Đó là một trong những lý do khiến Mỹ buộc phải giật dây cuộc đảo chính lật đổ ách cai trị của Ngô Đình Diệm tháng 11-1963.",Phong trào đấu tranh chính trị năm 1963 ở miền Nam tập trung vào vấn đề gì và có bao nhiêu lượt người tham gia?,"Chống đàn áp Phật giáo, trên 34 triệu lượt người.","Phong trào đấu tranh chính trị năm 1963 ở miền Nam tập trung vào việc chống lại chính quyền Ngô Đình Diệm đàn áp Phật giáo, thu hút trên 34 triệu lượt người tham gia."
3001,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Năm 1963 cũng là năm phong trào đấu tranh chính trị mạnh mẽ với trên 34 triệu lượt người, tập trung vào các đợt đấu tranh chống chính quyền Ngô Đình Diệm đàn áp Phật giáo, trong đó lớn nhất là cuộc đấu tranh ngày 16-6-1963 quy tụ 700.000 người. Cùng với thắng lợi trên mặt trận quân sự, phong trào đấu tranh chính trị trên toàn miền Nam năm 1963 đã làm chế độ chính trị Sài Gòn khủng hoảng tột độ. Đó là một trong những lý do khiến Mỹ buộc phải giật dây cuộc đảo chính lật đổ ách cai trị của Ngô Đình Diệm tháng 11-1963.",Phong trào đấu tranh chính trị năm 1963 đã tác động như thế nào đến chế độ chính trị Sài Gòn và vai trò của Mỹ trong sự kiện tháng 11-1963?,"Gây khủng hoảng tột độ, Mỹ giật dây đảo chính.","Phong trào đấu tranh chính trị mạnh mẽ năm 1963 đã đẩy chế độ chính trị Sài Gòn vào cuộc khủng hoảng tột độ, và đó là một trong những nguyên nhân khiến Mỹ buộc phải đứng sau cuộc đảo chính lật đổ Ngô Đình Diệm vào tháng 11 năm 1963."
3002,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Tình hình rối ren, mất ổn định của chính quyền và quân đội Sài Gòn là điều kiện để các tổ chức Đảng và Mặt trận ở miền Nam phát triển, đẩy mạnh các hình thức đấu tranh chính trị và làm công tác binh vận. Mỗi người dân, mỗi đơn vị vũ trang ở khắp miền Nam nhận nhiệm vụ vừa đánh giặc, vừa đấu tranh chính trị và binh vận để vừa tiêu diệt sinh lực địch, vừa làm tan rã quân đội Sài Gòn. Thực hiện các nhiệm vụ đó, Ban Binh vận các cấp cùng lực lượng cán bộ làm công tác binh vận chuyên trách của các ngành, đoàn thể, lực lượng vũ trang đã tiến hành nhiều biện pháp, hình thức binh vận và công tác binh vận đã mang lại hiệu quả to lớn, góp phần làm tan rã quân đội Sài Gòn.",Tình hình bất ổn của chính quyền và quân đội Sài Gòn đã tạo điều kiện gì cho cách mạng miền Nam?,"Đảng, Mặt trận phát triển, đẩy mạnh đấu tranh.","Tình hình rối ren và mất ổn định của chính quyền, quân đội Sài Gòn đã tạo điều kiện thuận lợi cho các tổ chức Đảng và Mặt trận ở miền Nam phát triển và đẩy mạnh các hình thức đấu tranh chính trị, binh vận."
3003,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Tình hình rối ren, mất ổn định của chính quyền và quân đội Sài Gòn là điều kiện để các tổ chức Đảng và Mặt trận ở miền Nam phát triển, đẩy mạnh các hình thức đấu tranh chính trị và làm công tác binh vận. Mỗi người dân, mỗi đơn vị vũ trang ở khắp miền Nam nhận nhiệm vụ vừa đánh giặc, vừa đấu tranh chính trị và binh vận để vừa tiêu diệt sinh lực địch, vừa làm tan rã quân đội Sài Gòn. Thực hiện các nhiệm vụ đó, Ban Binh vận các cấp cùng lực lượng cán bộ làm công tác binh vận chuyên trách của các ngành, đoàn thể, lực lượng vũ trang đã tiến hành nhiều biện pháp, hình thức binh vận và công tác binh vận đã mang lại hiệu quả to lớn, góp phần làm tan rã quân đội Sài Gòn.",Mỗi người dân và đơn vị vũ trang ở miền Nam đã nhận những nhiệm vụ gì?,"Vừa đánh giặc, vừa đấu tranh chính trị, binh vận.","Mỗi người dân và mỗi đơn vị vũ trang trên khắp miền Nam đã nhận nhiệm vụ đồng thời tiến hành đánh giặc, đấu tranh chính trị và thực hiện công tác binh vận."
3004,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Tình hình rối ren, mất ổn định của chính quyền và quân đội Sài Gòn là điều kiện để các tổ chức Đảng và Mặt trận ở miền Nam phát triển, đẩy mạnh các hình thức đấu tranh chính trị và làm công tác binh vận. Mỗi người dân, mỗi đơn vị vũ trang ở khắp miền Nam nhận nhiệm vụ vừa đánh giặc, vừa đấu tranh chính trị và binh vận để vừa tiêu diệt sinh lực địch, vừa làm tan rã quân đội Sài Gòn. Thực hiện các nhiệm vụ đó, Ban Binh vận các cấp cùng lực lượng cán bộ làm công tác binh vận chuyên trách của các ngành, đoàn thể, lực lượng vũ trang đã tiến hành nhiều biện pháp, hình thức binh vận và công tác binh vận đã mang lại hiệu quả to lớn, góp phần làm tan rã quân đội Sài Gòn.",Công tác binh vận đã được thực hiện như thế nào và mang lại hiệu quả gì?,"Nhiều biện pháp, hình thức, góp phần làm tan rã địch.","Công tác binh vận được Ban Binh vận các cấp cùng cán bộ chuyên trách thực hiện bằng nhiều biện pháp, hình thức khác nhau và đã mang lại hiệu quả to lớn, góp phần quan trọng vào việc làm tan rã quân đội Sài Gòn."
3005,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Năm 1962, mũi đấu tranh binh vận làm 32.000 binh lính quân đội Sài Gòn đào, rã ngũ. Năm 1963, binh vận địch làm tan rã 36.000 binh lính quân đội Sài Gòn. Công tác binh vận đã góp phần tiêu hao sinh lực và gieo rắc tâm lý đào, rã ngũ trong quân đội Sài Gòn.",Công tác binh vận đã khiến bao nhiêu binh lính quân đội Sài Gòn đào ngũ hoặc rã ngũ trong hai năm 1962 và 1963?,"1962: 32.000, 1963: 36.000.","Trong năm 1962, công tác binh vận đã làm 32.000 binh lính quân đội Sài Gòn đào hoặc rã ngũ, và con số này tăng lên 36.000 binh lính trong năm 1963."
3006,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Công tác xây dựng Mặt trận được đẩy mạnh, nhất là từ khi Đài phát thanh Giải phóng ra đời, tăng cường tuyên truyền đối ngoại, nêu rõ tính chất chính nghĩa của sự nghiệp kháng chiến chống Mỹ cứu nước của nhân dân Việt Nam. Ngày 20-12-1963, kỷ niệm 3 năm thành lập Mặt trận, có 321 tổ chức thuộc nhiều xu hướng chính trị khác nhau ở 42 quốc gia tổ chức Ngày đoàn kết với Mặt trận Dân tộc Giải phóng miền Nam Việt Nam. Mặt trận đã lần lượt lập Cơ quan đại diện bên cạnh Ủy ban đoàn kết Á-Phi tại Cairo, Cơ quan đại diện ở Tiệp Khắc, Trung Quốc, Cuba, Liên Xô và một số nước khác, lập Phòng thông tin ở một số nước Tây Bắc Âu.",Sự ra đời của Đài phát thanh Giải phóng đã có tác động như thế nào đến công tác xây dựng Mặt trận?,Đẩy mạnh tuyên truyền đối ngoại.,"Sự ra đời của Đài phát thanh Giải phóng đã góp phần đẩy mạnh công tác tuyên truyền đối ngoại của Mặt trận, làm rõ tính chính nghĩa của cuộc kháng chiến."
3007,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Công tác xây dựng Mặt trận được đẩy mạnh, nhất là từ khi Đài phát thanh Giải phóng ra đời, tăng cường tuyên truyền đối ngoại, nêu rõ tính chất chính nghĩa của sự nghiệp kháng chiến chống Mỹ cứu nước của nhân dân Việt Nam. Ngày 20-12-1963, kỷ niệm 3 năm thành lập Mặt trận, có 321 tổ chức thuộc nhiều xu hướng chính trị khác nhau ở 42 quốc gia tổ chức Ngày đoàn kết với Mặt trận Dân tộc Giải phóng miền Nam Việt Nam. Mặt trận đã lần lượt lập Cơ quan đại diện bên cạnh Ủy ban đoàn kết Á-Phi tại Cairo, Cơ quan đại diện ở Tiệp Khắc, Trung Quốc, Cuba, Liên Xô và một số nước khác, lập Phòng thông tin ở một số nước Tây Bắc Âu.","Vào ngày 20-12-1963, sự kiện gì đã thể hiện sự ủng hộ quốc tế đối với Mặt trận Dân tộc Giải phóng miền Nam Việt Nam?",321 tổ chức ở 42 nước tổ chức Ngày đoàn kết.,"Vào ngày 20 tháng 12 năm 1963, có 321 tổ chức thuộc 42 quốc gia khác nhau đã tổ chức Ngày đoàn kết với Mặt trận Dân tộc Giải phóng miền Nam Việt Nam."
3008,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Điểm nổi bật trong các hoạt động yêu nước và cách mạng năm 1963 là phong trào chống, phá ấp chiến lược . Năm 1963, Mỹ và chính quyền Sài Gòn đặt mục tiêu lập được 7.500 ấp chiến lược , kiểm soát 8 triệu dân. Quân đội Sài Gòn ráo riết tiến hành càn quét, gom dân lập ấp và bộ máy cai trị ở thôn ấp cùng các tổ chức thanh niên chiến đấu, công an ngầm để giữ ấp chiến lược . Tháng 5-1963, Ngô Đình Nhu tuyên bố đã lập được 7.205 ấp với 7 triệu dân, đẩy các lực lượng cách mạng vào tình cảnh mất chỗ dựa, cá đã bị tách khỏi nước .",Mục tiêu của Mỹ và chính quyền Sài Gòn trong việc lập ấp chiến lược năm 1963 là gì?,"7.500 ấp, kiểm soát 8 triệu dân.","Trong năm 1963, Mỹ và chính quyền Sài Gòn đặt ra mục tiêu xây dựng được 7.500 ấp chiến lược và kiểm soát khoảng 8 triệu người dân."
3009,Giai đoạn 1954 -1975,"Quân dân miền Nam chuyển từ khỏi nghĩa từng phần sang chiến tranh cách mạng, làm phá sản kế hoạch Stalây - Taylo của Mỹ (1961 - 1963)","Điểm nổi bật trong các hoạt động yêu nước và cách mạng năm 1963 là phong trào chống, phá ấp chiến lược . Năm 1963, Mỹ và chính quyền Sài Gòn đặt mục tiêu lập được 7.500 ấp chiến lược , kiểm soát 8 triệu dân. Quân đội Sài Gòn ráo riết tiến hành càn quét, gom dân lập ấp và bộ máy cai trị ở thôn ấp cùng các tổ chức thanh niên chiến đấu, công an ngầm để giữ ấp chiến lược . Tháng 5-1963, Ngô Đình Nhu tuyên bố đã lập được 7.205 ấp với 7 triệu dân, đẩy các lực lượng cách mạng vào tình cảnh mất chỗ dựa, cá đã bị tách khỏi nước .",Ngô Đình Nhu đã tuyên bố về kết quả thực hiện chương trình ấp chiến lược vào tháng 5 năm 1963 như thế nào và điều này gây ra tình cảnh gì cho cách mạng?,"Lập 7.205 ấp, 7 triệu dân, cách mạng mất chỗ dựa.","Vào tháng 5 năm 1963, Ngô Đình Nhu tuyên bố đã lập được 7.205 ấp với 7 triệu dân, điều này đẩy các lực lượng cách mạng vào tình thế khó khăn, mất đi chỗ dựa trong quần chúng."
